                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.7246,                 1.6322,                0.60752,                 1.0767,                0.90692,                0.88987,                0.94655,                 0.7764,                0.46856,                0.47441,                0.47618,                0.34904,                0.62379,                 1.3777,                0.48062,                0.95919,               0.007624,               0.007624,               0.007624
                     26,                 0.7252,                 1.6364,                  0.609,                 1.0757,                0.90709,                0.89036,                0.94667,                0.77695,                0.46852,                 0.4757,                0.47631,                0.34927,                0.62264,                 1.3769,                0.47965,                0.95845,               0.007525,               0.007525,               0.007525
                     27,                0.72385,                 1.6335,                 0.6059,                 1.0745,                0.90695,                 0.8905,                0.94689,                0.77774,                0.46799,                0.47715,                0.47644,                0.34944,                0.62211,                 1.3756,                0.47831,                0.95774,               0.007426,               0.007426,               0.007426
                     28,                0.72257,                 1.6267,                0.60373,                 1.0741,                0.90659,                0.89067,                0.94685,                0.77837,                0.46792,                0.47703,                0.47642,                0.34955,                  0.621,                 1.3742,                0.47689,                0.95679,               0.007327,               0.007327,               0.007327
                     29,                0.71989,                 1.6223,                0.60315,                 1.0734,                0.90596,                0.89091,                0.94701,                0.77885,                0.46823,                0.47708,                0.47648,                0.34984,                 0.6199,                 1.3731,                0.47543,                0.95607,               0.007228,               0.007228,               0.007228
                     30,                0.71678,                 1.6161,                0.59851,                 1.0711,                 0.9067,                0.89184,                0.94714,                0.77953,                 0.4703,                0.47747,                0.47672,                0.35004,                0.61903,                 1.3722,                0.47458,                 0.9554,               0.007129,               0.007129,               0.007129
                     31,                0.71782,                 1.6167,                0.59851,                 1.0713,                0.90627,                0.89249,                0.94736,                0.78004,                0.47138,                0.47663,                0.47684,                0.35032,                0.61822,                 1.3704,                 0.4731,                0.95453,                0.00703,                0.00703,                0.00703
                     32,                0.71624,                 1.6101,                 0.5967,                 1.0703,                0.90761,                0.89235,                0.94769,                0.78064,                0.47134,                0.47711,                0.47705,                0.35054,                0.61722,                  1.369,                0.47186,                 0.9535,               0.006931,               0.006931,               0.006931
                     33,                0.71433,                 1.6115,                0.59572,                 1.0695,                0.90673,                0.89375,                0.94772,                0.78111,                0.47137,                0.47784,                0.47715,                0.35065,                0.61644,                 1.3665,                0.47064,                0.95256,               0.006832,               0.006832,               0.006832
                     34,                0.71275,                 1.6067,                0.59567,                 1.0684,                0.90694,                0.89416,                0.94787,                0.78193,                0.47194,                0.47729,                0.47742,                0.35092,                0.61594,                 1.3645,                0.46929,                0.95208,               0.006733,               0.006733,               0.006733
                     35,                0.71019,                 1.6044,                0.59419,                 1.0674,                0.90772,                0.89453,                0.94821,                0.78254,                0.47204,                0.47825,                 0.4776,                0.35124,                0.61492,                 1.3624,                0.46838,                0.95132,               0.006634,               0.006634,               0.006634
