epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.91572,3.5995,11.9237,1.32131,0.00527,0.6,0.49608,0.06945,2.84505,5.65753,0.96194,0,0,0
2,11.1851,4.02174,10.9307,1.40097,0.00588,0.6,0.51621,0.07347,2.81487,5.62418,0.97129,1.58448e-05,1.58448e-05,1.58448e-05
3,14.2835,3.7516,11.8588,1.37801,0.00605,0.6,0.44957,0.0939,2.75587,5.63126,0.95884,3.00393e-05,3.00393e-05,3.00393e-05
4,17.3086,3.10312,13.8491,0.93535,0.00598,0.6,0.49623,0.11912,2.56167,5.62356,0.91467,4.25835e-05,4.25835e-05,4.25835e-05
5,20.3539,3.4266,7.68923,1.36538,0.00592,0.6,0.49621,0.12407,2.43526,5.52953,0.90274,5.34774e-05,5.34774e-05,5.34774e-05
6,23.3769,3.60841,10.015,1.43315,0.00584,0.6,0.44745,0.1541,2.25892,5.40504,0.90735,6.27209e-05,6.27209e-05,6.27209e-05
7,26.3918,3.44551,9.65858,1.08411,0.0078,0.8,0.45237,0.1546,2.17351,5.39087,0.89203,7.03141e-05,7.03141e-05,7.03141e-05
8,29.4922,2.57439,7.23578,1.17456,0.00575,0.6,0.44743,0.14909,2.06249,5.45485,0.87162,7.62569e-05,7.62569e-05,7.62569e-05
9,32.4671,2.84979,9.80197,1.02452,0.00563,0.6,0.4474,0.07118,1.98992,5.69067,0.85905,8.05494e-05,8.05494e-05,8.05494e-05
10,35.4974,3.53219,8.40841,1.18888,0.00563,0.6,0.4474,0.07118,1.9316,5.71829,0.86337,8.31916e-05,8.31916e-05,8.31916e-05
11,38.4995,2.59474,12.7817,1.31695,0.00563,0.6,0.4474,0.07118,1.8953,5.68597,0.86754,8.41835e-05,8.41835e-05,8.41835e-05
12,41.6673,2.61766,9.4714,1.12199,0.00563,0.6,0.4474,0.07118,1.86289,5.72883,0.85416,8.3525e-05,8.3525e-05,8.3525e-05
13,44.8808,2.88154,13.0163,1.14816,0.00563,0.6,0.4474,0.07118,1.83629,5.80884,0.84372,8.12162e-05,8.12162e-05,8.12162e-05
14,48.0136,2.63214,10.2639,1.00724,0.00563,0.6,0.4474,0.07118,1.83707,5.83577,0.84421,7.72571e-05,7.72571e-05,7.72571e-05
15,51.2929,3.33079,11.93,1.5784,0.00563,0.6,0.4474,0.07118,1.84825,5.82292,0.85137,7.16477e-05,7.16477e-05,7.16477e-05
16,54.4166,2.31399,8.0227,0.94138,0.00563,0.6,0.4474,0.07118,1.88047,5.78782,0.85797,6.43879e-05,6.43879e-05,6.43879e-05
17,57.5267,2.24588,7.71425,0.97989,0.00563,0.6,0.4474,0.07118,1.88853,5.73805,0.86444,5.54778e-05,5.54778e-05,5.54778e-05
18,60.6121,2.08882,9.03883,1.2105,0.00563,0.6,0.4474,0.07118,1.88853,5.73805,0.86444,4.49173e-05,4.49173e-05,4.49173e-05
19,63.7579,2.24997,9.9888,1.02755,0.00563,0.6,0.4474,0.07118,1.89281,5.75389,0.8696,3.27065e-05,3.27065e-05,3.27065e-05
20,67.0223,2.92342,7.89618,1.18335,0.00563,0.6,0.4474,0.07118,1.89281,5.75389,0.8696,1.88454e-05,1.88454e-05,1.88454e-05
